idx,dataset,example_id,prompt_id,source,subject,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx
mbe_0,mbe,0,0,MBE-1972-78-part2,,1,"Paul, the Plaintiff in a personal injury action, called Wes as a witness to testify that Dan's car, in which Paul had been riding. ran a red light. Wes, however, testified that Dan's car did not run the light.",Paul then called Vic to testify that Dan's car did run the light. The trial judge should rule that Vic's testimony is,admissible because Paul was surprised by Wes's testimony,admissible because Vic's testimony was relevant to material issues,inadmissible because Paul cannot impeach his own witness,inadmissible because Paul is bound by the testimony of his own witness,B,"Rules of evidence determine what types of evidence is admissible, and the trial court judge applies these rules to the case. Generally, to be admissible, the evidence must be relevant) and not outweighed by countervailing considerations (e.g., the evidence is unfairly prejudicial, confusing, a waste of time, privileged, or, among other reasons, based on hearsay). ",mbe_0
mbe_1,mbe,1,0,MBE-1972-78-part2,,2,"Paul, the Plaintiff in a personal injury action, called Wes as a witness to testify that Dan's car, in which Paul had been riding. ran a red light. Wes, however, testified that Dan's car did not run the light.","On cross-examination of Vic, Dan's attorney asked if Vic was drunk at the time he witnessed the accident. and Vic responded, ""No I have never in my life been drunk."" Dan's attorney then sought to prove by Yank that Vic was drunk on New Year's Eve two years before the accident. The trialjudge should rule that Yank's testimony is",admissible to impeach Vic by showing that he had an imperfect recollection of recent events,admissible to show that Vic is not the kind of person on whom one should rely for ascertaining the truth,inadmissible because a witness cannot be impeached by proof of specific acts of misconduct,inadmissible because the question of whether Vic has ever been drunk is a collateral matter,D," A matter is considered collateral if “the matter itself is not relevant in the litigation to establish a fact of consequence, i.e., not relevant for a purpose other than mere contradiction of the in-court testimony of the witness.” United States v. Beauchamp, 986 F.2d 1, 4 (1st Cir.1993) (quoting 1 McCormick on Evidence § 45 (4th ed. 1992)). Although any demonstrated inconsistency in a witness's statement may impeach a witness's credibility, other concerns (such as wasting time and misleading the jury) become more important when the inconsistency at *409 issue involves a statement relating to a matter that “is not relevant in the litigation to establish a fact of consequence.” Id. (quoting 1 McCormick on Evidence § 45, 169 (4th ed. 1992)).",mbe_1
mbe_2,mbe,2,0,MBE-1972-78-part2,,3,"Paul, the Plaintiff in a personal injury action, called Wes as a witness to testify that Dan's car, in which Paul had been riding. ran a red light. Wes, however, testified that Dan's car did not run the light.",Dan called Zemo as a witness and asked him if he knew Vic's reputation for veracity in the community where Vic resided. The trialjudge should rule that this question is,objectionable because collateral to the issues on trial,objectionable because character cannot be proven by generalities,unobjectionable because a foundation for impeachment of Vic.,unobjectionable because Zemo could be expected to know Vic personally if he knew his reputation,C,"Before a document may be received in evidence, it must meet a number of foundational requirements including: relevancy, authentication, the best evidence rule, and hearsay.” Hadlock v. Dir. of Revenue, 860 S.W.2d 335, 337 (Mo. banc 1993). However, “a statute may eliminate one or more of these obstacles with regard to a particular document.” Id. In the case of business records, § 490.680 allows them to be admitted despite being hearsay if
the custodian or other qualified witness testifies to [the record's] identity and the mode of its preparation, and if it was made in the regular course of business, at or near the time of the act, condition or event, and if, in the opinion of the court, the sources of information, method and time of preparation were such as to justify its admission.
All of the requirements of § 490.680 must be satisfied for a record to be admitted as competent evidence.5 State v. Graham, 641 S.W.2d 102, 106 (Mo. banc 1982). ",mbe_2
mbe_3,mbe,3,1,MBE-1972-78-part2,,4,,"Jim watched a liquor store furtively for some time, planning to hold it up. He bought a realistic-looking toy gun for the job. One night, just before the store's closing time, he drove to the store, opened the front door and entered. He reached in his pocket for the toy gun, but then became frightened and began to move back toward the front door. However, the shopkeeper had seen the butt of the gun. Fearing a hold up, the shopkeeper produced a gun from under the counter, pointed it at Jim, and yelled, ""Stop!"" Jim ran to the door and the toy gun fell from his pocket. The shopkeeper fired. The shot missed Jim, but struck and killed a passerby outside the store. A statute in the jurisdiction defines burglary as ""breaking and entering any building or structure with the intent to commit a felony or to steal therein."" On a charge of burglary, Jim's best defense would be that",the intent required was not present,the liquor store was open to the public,he had a change of heart and withdrew before committing any crime inside the store,"he was unsuccessful, and so at most could only be guilty of attempted burglary",B,"By contrast, generic burglary's unlawful-entry element excludes any case in which a person enters premises open to the public, no matter his intent; the generic crime requires breaking and entering or similar unlawful activity. See Brief for United States 38; LaFave § 21.1(a). So everything rests on the Government's *276 third point: that this mismatch does not preclude applying the modified categorical approach, because it results not from a missing element but instead from an element's overbreadth.",mbe_3
mbe_7,mbe,7,3,MBE-1972-78-part2,,8,"A water pipe burst in the basement of Supermart, a grocery store, flooding the basement and damaging cases of canned goods on the floor. The Plumbing contractor's workmen, in repairing the leak, knocked over several stacks of canned goods in cases, denting the cans. After settling its claims against the landlord for the water leak and against the plumbing contractor for the damage done by his workmen, Supermart put the goods on special sale. Four weeks later Dotty was shopping in Supermart. Several tables in the market were covered with assorted canned foods, all of which were dirty and dented. A sign on each of the tables read: ""Damaged Cans-Half Price."" Dotty was having Guest for dinner that evening and purchased two dented cans of tuna, packed by Canco, from one of the tables displaying the damaged cans. Before Guest arrived, Dotty prepared a tuna casserole which she and Guest ate. Both became ill and the medical testimony established that the illness was caused by the tuna's being unfit for consumption. The tuna consumed by Dotty and Guest came from the case that was at the top of one of the stacks knocked over by the workmen. The tuna in undamaged cans from the same Canco shipment was fit for consumption.","If Dotty asserts a claim against Canco based on negligence, the doctrine of res ipsa loquitur is","applicable, because the tuna was packed in a sealed can","applicable, because Canco as the packer is strictly liable","not applicable, because the case of tuna had been knocked over by the workmen","not applicable, because of the sign on the table from which Dotty purchased the tuna",C,"The res ipsa loquitur doctrine “enables a jury presented only with circumstantial evidence to infer negligence simply from the fact that an event happened.” St. Paul Fire & Marine Ins. Co. v. City of New York, 907 F.2d 299, 302 (2d Cir.1990).  The criteria for applying res ipsa loquitur include
 “(1) the event must be of a kind which ordinarily does not occur in the absence of someone's negligence; (2) it must be caused by an agency or instrumentality within the exclusive control of the defendant; (3) it must not have been due to any voluntary action or contribution on the part of the plaintiff.”
Morejon v. Rais Construction Company, 7 N.Y.3d 203, 818 N.Y.S.2d 792, 851 N.E.2d 1143, 1147 (2006) (quoting Corcoran v. Banner Super Mkt., 19 N.Y.2d 425, 280 N.Y.S.2d 385, 227 N.E.2d 304 (1967)).",mbe_4
mbe_8,mbe,8,3,MBE-1972-78-part2,,9,"A water pipe burst in the basement of Supermart, a grocery store, flooding the basement and damaging cases of canned goods on the floor. The Plumbing contractor's workmen, in repairing the leak, knocked over several stacks of canned goods in cases, denting the cans. After settling its claims against the landlord for the water leak and against the plumbing contractor for the damage done by his workmen, Supermart put the goods on special sale. Four weeks later Dotty was shopping in Supermart. Several tables in the market were covered with assorted canned foods, all of which were dirty and dented. A sign on each of the tables read: ""Damaged Cans-Half Price."" Dotty was having Guest for dinner that evening and purchased two dented cans of tuna, packed by Canco, from one of the tables displaying the damaged cans. Before Guest arrived, Dotty prepared a tuna casserole which she and Guest ate. Both became ill and the medical testimony established that the illness was caused by the tuna's being unfit for consumption. The tuna consumed by Dotty and Guest came from the case that was at the top of one of the stacks knocked over by the workmen. The tuna in undamaged cans from the same Canco shipment was fit for consumption.","If Guest asserts a claim against Dotty, Dotty most likely will",be held strictly liable in tort for serving spoiled tuna,be held liable only if she were negligent,not be held liable unless her conduct was in reckless disregard of the safety of Guest,not be held liable because Guest was a social visitor,B,"The Indiana courts have apparently never squarely addressed the precise issue presented here.  But it has long been the rule in Indiana that the duty of care owed by a real-property owner to his social guests requires only that the host refrain from willfully, wantonly or intentionally injuring his social guests. Swanson v. Shroat, 169 Ind.App. 80, 345 N.E.2d 872 (1976); Pierce v. Walters, 152 Ind.App. 321, 283 N.E.2d 560 (1972); Fort Wayne National Bank v. Doctor, 149 Ind.App. 365, 272 N.E.2d 876 (1971).",mbe_5
mbe_9,mbe,9,3,MBE-1972-78-part2,,10,"A water pipe burst in the basement of Supermart, a grocery store, flooding the basement and damaging cases of canned goods on the floor. The Plumbing contractor's workmen, in repairing the leak, knocked over several stacks of canned goods in cases, denting the cans. After settling its claims against the landlord for the water leak and against the plumbing contractor for the damage done by his workmen, Supermart put the goods on special sale. Four weeks later Dotty was shopping in Supermart. Several tables in the market were covered with assorted canned foods, all of which were dirty and dented. A sign on each of the tables read: ""Damaged Cans-Half Price."" Dotty was having Guest for dinner that evening and purchased two dented cans of tuna, packed by Canco, from one of the tables displaying the damaged cans. Before Guest arrived, Dotty prepared a tuna casserole which she and Guest ate. Both became ill and the medical testimony established that the illness was caused by the tuna's being unfit for consumption. The tuna consumed by Dotty and Guest came from the case that was at the top of one of the stacks knocked over by the workmen. The tuna in undamaged cans from the same Canco shipment was fit for consumption.","If Guest asserts a claim against Supermart, the most likely result is that Guest will",recover on the theory of res ipsa loquitur,recover on the theory of strict liability in tort,"not recover, because Supermart gave proper warning","not recover, because Guest was not the purchaser of the cans",B,"To demonstrate strict liability, a plaintiff must show: “(1) that the defendant's product was in a defective condition unreasonably dangerous for its intended use, (2) that the defect existed when the product left the defendant's control, and (3) that the defect was the proximate cause of the injury sustained.” Bilotta v. Kelley Co., 346 N.W.2d 616, 623 n. 3 (Minn.1984).",mbe_6
mbe_10,mbe,10,4,MBE-1972-78-part2,,11,"Addle, who has been in the painting and contracting business for ten years and has a fine reputation, contracts to paint Boone's barn. Boone's barn is a standard red barn with loft. The contract has no provision regarding assignment.","If Addle assigns the contract to Coot, who has comparable experience and reputation, which of the following statements is correct?",Addle is in breach of contract.,Boone may refuse to accept performance by Coot.,Boone is required to accept performance by Coot.,There is a novation.,C,"“[e]xceptions to the rule that contracts are freely assignable are when the contract expressly provides that it is not assignable or when performance of some term of the contract involves an element of personal skill or credit.” Hurst v. West, 49 N.C.App. 598, 272 S.E.2d 378, 382–83 (1980) (citations omitted).",mbe_7
mbe_11,mbe,11,4,MBE-1972-78-part2,,12,"Addle, who has been in the painting and contracting business for ten years and has a fine reputation, contracts to paint Boone's barn. Boone's barn is a standard red barn with loft. The contract has no provision regarding assignment.",If Addle assigns the contract to Coot and thereafter Coot does not meet the contract specifications in painting Boone's barn. Boone,has a cause of action against Addle for damages,has a cause of action only against Coot for damages,has a cause of action against Addle for damages only after he has first exhausted his remedies against Coot,does not have a cause of action against Addle for damages because he waived his rights against Addle by permitting Coot to perform the work,A,"Under Massachusetts law, claims for breach of contract are generally assignable.7 Raymer v. Bay State Nat'l Bank, 384 Mass. 310, 424 N.E.2d 515, 518 (1981); see also SAPC, Inc. v. Lotus Dev. Corp., 921 F.2d 360 (1st Cir.1990). ",mbe_8
mbe_12,mbe,12,5,MBE-1972-78-part2,,13,"Jackson and Brannick planned to break into a federal government office to steal food stamps. Jackson telephoned Crowley one night and asked whether Crowley wanted to buy some ""hot"" food stamps. Crowley, who understood that ""hot"" meant stolen, said: ""Sure, bring them right over."" Jackson and Brannick then successfully executed their scheme. That same night they delivered the food stamps to Crowley, who bought them for $500. Crowley did not ask when or by whom the stamps were stolen. All three were arrested. Jackson and Brannick entered guilty pleas in federal court to a charge of larceny in connection with the theft. Crowley was brought to trial in the state court on a charge of conspiracy to steal food stamps.","On the evidence stated, Crowley should be found","guilty, because, when a new confederate enters a conspiracy already in progress, he becomes a party to it","guilty, because he knowingly and willingly aided and abetted the conspiracy and is chargeable as a principal","not guilty, because, although Crowley knew the stamps were stolen, he neither helped to plan nor participated or assisted in the theft","not guilty, because Jackson and Brannick had not been convicted of or charged with conspiracy, and Crowley cannot be guilty of conspiracy by himself",C,"To obtain a conspiracy conviction under § 371, “the Government must prove (1) that an agreement existed between two or more persons to commit a crime; (2) that the defendant knowingly and voluntarily joined or participated in the conspiracy; and (3) a conspirator performed an overt act in furtherance of the agreement.” United States v. Ndiaye, 434 F.3d 1270, 1294 (11th Cir.2006). ",mbe_9
